,Name,lat,lon,amenity
134,Gladstone-Riverside Park,49.205532,-123.056883,park
135,Nanaimo Park,49.227724,-123.057508,park
136,Riverfront Park,49.205951,-123.04575,park
137,Alexandra Park,49.28546,-123.14223,park
138,Barclay Heritage Square,49.28718,-123.132167,park
139,Rosemont Park,49.215746,-123.040816,park
140,Sunset Beach Park,49.281211,-123.139681,park
141,Sahalli Park,49.263885,-123.089121,park
142,Hastings Mill Park,49.27279,-123.186689,park
143,Jericho Beach Park,49.271513,-123.197415,park
144,Choklit Park,49.265482,-123.128905,park
145,George Wainborn Park,49.272541,-123.129311,park
146,Camosun,49.257423,-123.201329,park
147,Arbutus Greenway Park,49.262283,-123.154927,park
148,Yaletown Park,49.277042,-123.118921,park
149,Fraser River Trail,49.200357,-123.135862,park
150,Trillium Park,49.275015,-123.093116,park
151,Prince of Wales Park,49.244397,-123.156429,park
152,Quilchena Park,49.24369,-123.148865,park
153,Trafalgar Park,49.25046,-123.161879,park
154,Cathedral Square,49.282084,-123.113877,park
155,Coal Harbour Park,49.289981,-123.125015,park
156,Creekside Park,49.274415,-123.102924,park
157,David Lam Park,49.272569,-123.124145,park
158,Emery Barnes Park,49.276458,-123.123995,park
159,Portal Park,49.288042,-123.119169,park
160,Roundhouse Turntable Plaza,49.273379,-123.121603,park
161,Sun Yat-Sen Gardens,49.279691,-123.104233,park
162,Deering Island Park,49.218288,-123.184356,park
163,Musqueam Park,49.229331,-123.18998,park
164,Quadra West Park,49.257112,-123.180696,park
165,Cambridge Park,49.286753,-123.062784,park
166,Grandview Park,49.273511,-123.070469,park
167,McGill Park,49.288668,-123.057154,park
168,McSpadden Park,49.265936,-123.066601,park
169,Oxford Park,49.286172,-123.062223,park
170,Woodland Park,49.278526,-123.073387,park
171,Kaslo Park,49.264099,-123.046012,park
172,New Brighton Park,49.290122,-123.037888,park
173,Rupert Park,49.271629,-123.031384,park
174,Sunrise Park,49.266612,-123.035037,park
175,Brewers Park,49.247695,-123.066461,park
176,Clark Park,49.257142,-123.072405,park
177,General Brock Park,49.244757,-123.058517,park
178,Grays Park,49.241136,-123.084974,park
179,Kingcrest Park,49.247499,-123.074674,park
180,Fraser River Park,49.207915,-123.150862,park
181,Champlain Heights Park,49.215527,-123.032545,park
182,Almond Park,49.261014,-123.184543,park
183,Connaught Park,49.262026,-123.160025,park
184,McBride Park,49.268073,-123.179732,park
185,Point Grey Park Site at Trutch Street,49.271658,-123.17617,park
186,Ash Park,49.210597,-123.119435,park
187,Shannon Park,49.215457,-123.142529,park
188,Winona Park,49.215431,-123.114024,park
189,Guelph Park,49.263965,-123.095837,park
190,Montgomery Park,49.231291,-123.130776,park
191,Tisdall Park,49.227725,-123.119693,park
192,Cariboo Park,49.244232,-123.028792,park
193,Collingwood Park,49.237066,-123.036887,park
194,Norquay Park,49.237098,-123.051061,park
195,Price Park,49.251572,-123.097564,park
196,Renfrew Ravine Park,49.247166,-123.044111,park
197,Grimmett Park,49.253954,-123.102003,park
198,Kerrisdale Park,49.235725,-123.152674,park
199,VanDusen Botanical Garden,49.239181,-123.131293,park
200,MacLean Park,49.278838,-123.088396,park
201,Strathcona Linear Park,49.276983,-123.087485,park
202,George Park,49.212608,-123.094228,park
203,Memorial South Park,49.230901,-123.085138,park
204,Ross Park,49.217276,-123.082351,park
205,Fraserview Park,49.215398,-123.067572,park
206,Gordon Park,49.22338,-123.070491,park
207,Humm Park,49.218698,-123.063266,park
208,English Bay Beach Park,49.287118,-123.143317,park
209,Rosemary Brown Park,49.261821,-123.157388,park
210,Langara Park,49.225093,-123.111506,park
211,Park Site on Shaughnessy Street,49.202224,-123.125036,park
212,Locarno Park,49.273015,-123.207284,park
213,Granville Island Water Park,49.26955,-123.135064,park
214,Hinge Park,49.270869,-123.110533,park
215,McAuley Park,49.256978,-123.09,park
