id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,225,2,74,2021-09-18,1.11,1,0,6,21-156743
256178,Luxury Coach House in Kitsilano,1267409,Cormac,,Kitsilano,49.26293,-123.17143,Entire home/apt,230,2,19,2021-10-09,0.17,2,253,9,21-156342
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27839,-123.12852,Entire home/apt,99,120,53,2018-08-10,0.72,1,219,1,
283841,D27 - 3 Bedroom in Coal Harbour,30899,Rami,,Downtown,49.28906,-123.12505,Entire home/apt,197,90,2,2012-04-01,0.02,40,72,0,
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23273,-123.02747,Private room,70,2,72,2020-03-06,1.16,2,135,0,18-596029
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,30,6,2018-03-30,0.13,5,90,0,18-475635
322824,Modern Yaletown 1BR | GREAT VIEW + CENTRAL,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,100,30,144,2019-07-26,1.62,1,154,2,
323090,Beautiful fully furnished suite,1555022,Katya And Nick,,Downtown,49.28244,-123.12293,Entire home/apt,168,31,71,2017-09-04,0.94,1,31,0,
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,235,30,44,2019-12-14,0.37,6,364,0,18607863 AM
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,57,2019-08-17,0.91,1,352,0,
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,75,30,215,2021-08-17,2.86,3,327,9,21 157106 SA
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,275,3,92,2021-10-25,1.78,1,349,18,21-156549
444187,UNIQUE 4 Bedroom Character House near Downtown!,276869,Chloe,,Mount Pleasant,49.26743,-123.11178,Entire home/apt,395,7,7,2018-09-03,0.16,1,33,0,18-568546
448104,Home (Office) Away from Home – Heart of Downtown,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,132,30,260,2020-03-31,3.20,3,31,6,21-104936
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22834,-123.03047,Private room,100,30,44,2019-09-22,0.44,6,365,0,18-607373
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,100,30,35,2019-09-02,0.39,6,365,0,18-607373
475296,Entire 1400sf white loft with large deck + rooftop,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,427,1,157,2021-04-14,5.41,1,363,25,21-157231
485225,Vancouver One Bedroom,103427,Jacqueline M,,Downtown,49.28052,-123.12691,Entire home/apt,342,2,1,2014-08-04,0.01,2,365,0,Exempt
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,124,31,159,2017-06-15,1.73,1,137,2,
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,5,31,2020-08-10,0.27,2,145,2,21-157259
507767,Level | One Bedroom Suite | Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.27741,-123.12292,Entire home/apt,250,30,3,2013-06-03,0.03,22,365,0,
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,343,1,37,2021-02-15,0.37,1,358,7,21-157436
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,30,189,2018-07-25,2.14,2,292,4,19-114782
569160,5 min walk to St Paul’s hospital & Davie St.,2799473,Heath,,Downtown,49.27713,-123.13155,Entire home/apt,120,30,47,2018-08-02,1.04,1,341,3,Exempt
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,489,2,44,2021-01-27,0.44,2,333,6,21-156834
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,84,30,58,2021-09-01,0.80,1,1,1,20-154141
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,130,30,62,2018-07-29,0.70,1,157,4,19-104667
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,77,30,22,2017-06-01,0.21,2,22,0,
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,92,31,27,2018-05-06,0.42,1,0,0,86-13134
703179,Entire cute  condo full of art,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,150,1,170,2021-10-30,1.68,1,79,13,21-157266
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,82,2017-12-07,0.90,1,333,6,
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,150,31,11,2020-04-15,0.11,1,155,0,
735468,English Bay Views,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,156,1,133,2019-12-13,4.65,1,357,19,21-246903
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2019-08-31,1.22,1,0,2,21-157483
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,51,5,180,2020-02-24,3.60,1,34,4,21-156581
771366,Level | Studio | Lux Amenities Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.2794,-123.12181,Entire home/apt,230,30,4,2013-08-10,0.04,22,364,0,
771380,Level | Two Bedroom Suite | Lux Amenities Downtown,2502595,Level Hotels & Furnished Suites,,Downtown,49.27918,-123.12187,Entire home/apt,385,30,7,2014-10-01,0.07,22,364,0,
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,66,30,51,2018-05-04,1.22,3,206,6,Long Term Listing
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,47,14,67,2021-01-03,0.77,3,182,8,21-156493
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,114,30,3,2016-09-17,0.03,3,166,0,
796603,Exellent for International Student,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0,0,
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,68,30,23,2015-07-07,0.22,3,196,2,
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,64,2017-07-16,0.73,1,139,2,
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,,Downtown,49.27317,-123.11961,Entire home/apt,170,30,5,2021-08-31,0.06,1,278,2,
874731,Sunny room with private bathroom and large patio,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,109,6,54,2019-09-27,1.05,1,52,4,21-157290
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,275,7,33,2021-09-06,0.43,1,23,1,21-157046
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,200,2019-09-07,2.60,1,231,7,21-156302
939882,The Nicola House in English bay,5066370,Myf,,West End,49.28649,-123.13458,Entire home/apt,149,1,129,2021-10-11,1.66,1,234,19,21-258834
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,496,30,10,2013-08-16,0.10,6,365,0,
961006,Oakridge Canada Line completely renovated home,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.07,4,0,0,20-185023
961831,Spacious Room in Character Home,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,89,4,15,2021-10-19,4.05,2,353,15,21-158105
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.27489,-123.12654,Entire home/apt,72,30,7,2015-10-01,0.09,46,21,0,
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.28006,-123.12673,Entire home/apt,63,30,1,2013-09-17,0.01,46,15,0,
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28837,-123.12766,Entire home/apt,98,30,12,2020-10-17,0.23,46,64,0,
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.27804,-123.12531,Entire home/apt,280,180,2,2014-05-08,0.02,2,365,0,
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!,5539641,Selina,,Downtown,49.27828,-123.12671,Entire home/apt,180,180,1,2013-06-02,0.01,2,365,0,
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25674,-123.0874,Entire home/apt,80,2,283,2020-10-30,5.26,1,167,21,21-156942
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27747,-123.12098,Entire home/apt,60,30,101,2021-04-30,1.45,2,81,6,Exempt
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.27703,-123.12692,Entire home/apt,60,30,139,2020-04-19,1.53,2,190,3,Exempt
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,95,2,66,2021-10-26,1.47,1,334,11,21-156574
1090662,FURNISHED 1 BED + DEN IN YALETOWN,5992916,Natalia,,Downtown,49.27613,-123.12389,Entire home/apt,75,360,0,,,1,365,0,
1103566,Modern Downtown-2BR+2Bath+Den+Office+Pkg-Monthly,6060927,Aaron,,Downtown,49.28028,-123.10737,Entire home/apt,349,29,288,2021-08-22,4.60,1,336,10,XX-XXXX
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29258,-123.13446,Entire home/apt,71,30,11,2014-06-01,0.20,46,19,0,
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26008,-123.15989,Entire home/apt,560,5,38,2019-06-30,0.81,1,49,2,21-157220
1118858,*Best choice in downtown-5 Stars * -3,70137,Kai,,West End,49.28239,-123.13021,Private room,65,30,58,2019-08-18,1.13,3,308,0,18-573700
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28119,-123.12033,Entire home/apt,99,30,1,2019-07-08,0.04,2,341,0,
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,100,3,267,2021-10-28,2.67,1,306,6,21-157329
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.2726,-123.06988,Private room,50,30,74,2019-08-24,0.74,2,278,1,
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,76,2,43,2019-08-31,36.86,1,46,7,21-156603
1206606,Luxury Spacious Condo by Kits Beach,6591521,Ellany,,Kitsilano,49.27271,-123.14924,Entire home/apt,155,31,72,2014-10-22,0.71,1,34,0,
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,149,3,194,2019-09-01,2.12,1,164,1,20-160210
1223989,Stunning Suite Heart of DT w/Parking and Office,6677154,Amanda,,Downtown,49.27843,-123.12901,Entire home/apt,130,90,101,2017-05-17,1.53,1,132,1,
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.28478,-123.1192,Private room,129,2,453,2021-10-24,5.17,2,314,36,Exempt
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,,Kitsilano,49.26889,-123.18543,Entire home/apt,150,30,38,2016-06-25,0.38,2,209,0,18-549007
1316419,120 501 Pacific,600607,Bruce,,Downtown,49.28279,-123.1222,Entire home/apt,73,181,2,2014-07-01,0.02,46,299,0,
1316477,224 Yaletown Park.  Long term stay welcome,600607,Bruce,,Downtown,49.27859,-123.11993,Entire home/apt,82,90,7,2020-09-30,0.11,46,125,0,
1324743,Cosy 1 bedroom apt Mount Pleasant,7190610,Nathan,,Mount Pleasant,49.25909,-123.10415,Entire home/apt,75,3,15,2018-05-13,0.15,1,6,1,21-284805
1343411,Close to Anywhere: Location Location Location,6904778,Mari,,Downtown Eastside,49.27627,-123.10013,Entire home/apt,95,1,55,2020-11-01,1.54,1,0,3,18-615245
1343519,*Best choice in downtown-5 Stars* -1,70137,Kai,,West End,49.28247,-123.13068,Private room,65,30,65,2019-08-20,1.10,3,280,1,18-573700
1360765,Ultra Modern Apartment in Yaletow,7338933,Sadiq,,Downtown,49.284,-123.11432,Entire home/apt,99,30,112,2016-06-08,1.26,3,187,1,
1361276,Private space in heritage home in lovely area,1743089,Darren,,Kensington-Cedar Cottage,49.25808,-123.07538,Entire home/apt,150,14,16,2019-03-12,0.27,3,0,3,21-157024
