,name,neighbourhood_cleansed,latitude,longitude,listing_url,number_of_reviews_ltm,review_scores_rating
0,"Open-concept, Modern Heritage Home with over 20 Skylights",Downtown Eastside,49.27836,-123.08716,https://www.airbnb.com/rooms/70453,2,4.92
1,"Open-concept, Modern Heritage Home with over 20 Skylights",Downtown Eastside,49.27836,-123.08716,https://www.airbnb.com/rooms/70453,2,4.92
2,"Open-concept, Modern Heritage Home with over 20 Skylights",Downtown Eastside,49.27836,-123.08716,https://www.airbnb.com/rooms/70453,2,4.92
3,"Open-concept, Modern Heritage Home with over 20 Skylights",Downtown Eastside,49.27836,-123.08716,https://www.airbnb.com/rooms/70453,2,4.92
4,"Open-concept, Modern Heritage Home with over 20 Skylights",Downtown Eastside,49.27836,-123.08716,https://www.airbnb.com/rooms/70453,2,4.92
